query_id,chunk_id,avaliador,relevancia,adjudicada
Q22,chap13-c1839,Helena,1,1
Q22,chap13-c1841,Helena,1,1
Q22,chap13-c1843,Helena,1,1
Q23,chap14-c1912,Helena,1,1
Q23,chap14-c1914,Helena,1,1
Q23,chap14-c1920,Helena,1,1
Q23,chap14-c1921,Helena,1,1
Q23,chap14-c1923,Helena,1,1
Q23,chap14-c1926,Helena,1,1
Q24,chap14-c1944,Helena,1,1
Q24,chap14-c1946,Helena,1,1
Q24,chap14-c1948,Helena,1,1
Q24,chap14-c1953,Helena,1,1
Q24,chap14-c1967,Helena,1,1
Q25,chap15-c2059,Helena,1,1
Q25,chap15-c2061,Helena,1,1
Q25,chap15-c2065,Helena,1,1
Q25,chap15-c2067,Helena,1,1
Q25,chap15-c2069,Helena,1,1
Q26,chap15-c2118,Helena,1,1
Q26,chap15-c2120,Helena,1,1
Q26,chap15-c2122,Helena,1,1
Q27,chap16-c2217,Helena,1,1
Q27,chap16-c2219,Helena,1,1
Q27,chap16-c2224,Helena,1,1
Q27,chap16-c2226,Helena,1,1
Q27,chap16-c2228,Helena,1,1
Q27,chap16-c2230,Helena,1,1
Q27,chap16-c2239,Helena,1,1
Q28,chap16-c2177,Helena,1,1
Q28,chap16-c2179,Helena,1,1
Q28,chap16-c2181,Helena,1,1
Q28,chap16-c2183,Helena,1,1
Q28,chap16-c2185,Helena,1,1
Q28,chap16-c2187,Helena,1,1
Q29,chap17-c2399,Helena,1,1
Q29,chap17-c2401,Helena,1,1
Q29,chap17-c2410,Helena,1,1
Q29,chap17-c2411,Helena,1,1
Q29,chap17-c2422,Helena,1,1
Q30,chap18-c2515,Helena,1,1
Q30,chap18-c2519,Helena,1,1
Q30,chap18-c2521,Helena,1,1
Q30,chap18-c2523,Helena,1,1
Q30,chap18-c2525,Helena,1,1
Q30,chap18-c2527,Helena,1,1
Q30,chap18-c2530,Helena,1,1
